0	0	0	0
0	0	2.5	4.33013
0	0	5	0
0	0		
0	1	5	0
0	1	7.5	4.33013
0	1	10	0
0	1		
0	2	10	0
0	2	12.5	4.33013
0	2	15	0
0	2		
0	3	15	0
0	3	17.5	4.33013
0	3	20	0
0	3		
0	4	20	0
0	4	22.5	4.33013
0	4	25	0
0	4		
0	5	25	0
0	5	27.5	4.33013
0	5	30	0
0	5		
0	6	30	0
0	6	32.5	4.33013
0	6	35	0
0	6		
0	7	35	0
0	7	37.5	4.33013
0	7	40	0
0	7		
0	8	40	0
0	8	42.5	4.33013
0	8	45	0
0	8		
0	9	45	0
0	9	47.5	4.33013
0	9	0	0
0	9		
0	0	2.5	4.33013
0	0	7.5	4.33013
0	0	5	0
0	0		
0	1	7.5	4.33013
0	1	12.5	4.33013
0	1	10	0
0	1		
0	2	12.5	4.33013
0	2	17.5	4.33013
0	2	15	0
0	2		
0	3	17.5	4.33013
0	3	22.5	4.33013
0	3	20	0
0	3		
0	4	22.5	4.33013
0	4	27.5	4.33013
0	4	25	0
0	4		
0	5	27.5	4.33013
0	5	32.5	4.33013
0	5	30	0
0	5		
0	6	32.5	4.33013
0	6	37.5	4.33013
0	6	35	0
0	6		
0	7	37.5	4.33013
0	7	42.5	4.33013
0	7	40	0
0	7		
0	8	42.5	4.33013
0	8	47.5	4.33013
0	8	45	0
0	8		
0	9	47.5	4.33013
0	9	0	0
0	9	0	0
0	9		
1	0	2.5	4.33013
1	0	0	8.66025
1	0	7.5	4.33013
1	0		
1	1	7.5	4.33013
1	1	5	8.66025
1	1	12.5	4.33013
1	1		
1	2	12.5	4.33013
1	2	10	8.66025
1	2	17.5	4.33013
1	2		
1	3	17.5	4.33013
1	3	15	8.66025
1	3	22.5	4.33013
1	3		
1	4	22.5	4.33013
1	4	20	8.66025
1	4	27.5	4.33013
1	4		
1	5	27.5	4.33013
1	5	25	8.66025
1	5	32.5	4.33013
1	5		
1	6	32.5	4.33013
1	6	30	8.66025
1	6	37.5	4.33013
1	6		
1	7	37.5	4.33013
1	7	35	8.66025
1	7	42.5	4.33013
1	7		
1	8	42.5	4.33013
1	8	40	8.66025
1	8	47.5	4.33013
1	8		
1	9	47.5	4.33013
1	9	45	8.66025
1	9	0	0
1	9		
1	0	0	8.66025
1	0	5	8.66025
1	0	7.5	4.33013
1	0		
1	1	5	8.66025
1	1	10	8.66025
1	1	12.5	4.33013
1	1		
1	2	10	8.66025
1	2	15	8.66025
1	2	17.5	4.33013
1	2		
1	3	15	8.66025
1	3	20	8.66025
1	3	22.5	4.33013
1	3		
1	4	20	8.66025
1	4	25	8.66025
1	4	27.5	4.33013
1	4		
1	5	25	8.66025
1	5	30	8.66025
1	5	32.5	4.33013
1	5		
1	6	30	8.66025
1	6	35	8.66025
1	6	37.5	4.33013
1	6		
1	7	35	8.66025
1	7	40	8.66025
1	7	42.5	4.33013
1	7		
1	8	40	8.66025
1	8	45	8.66025
1	8	47.5	4.33013
1	8		
1	9	45	8.66025
1	9	0	0
1	9	0	0
1	9		
2	0	0	8.66025
