31.25	28.1458	500
33.75	28.1458	500
36.25	28.1458	100
38.75	28.1458	100
41.25	28.1458	100
43.75	28.1458	100
46.25	28.1458	100
48.75	28.1458	100
0	30.3109	100
2.5	30.3109	100
5	30.3109	100
7.5	30.3109	100
10	30.3109	100
12.5	30.3109	100
15	30.3109	100
17.5	30.3109	500
20	30.3109	500
22.5	30.3109	500
25	30.3109	500
27.5	30.3109	500
30	30.3109	500
32.5	30.3109	500
35	30.3109	100
37.5	30.3109	100
40	30.3109	100
42.5	30.3109	100
45	30.3109	100
47.5	30.3109	100
1.25	32.476	100
3.75	32.476	100
6.25	32.476	100
8.75	32.476	100
11.25	32.476	100
13.75	32.476	100
16.25	32.476	100
18.75	32.476	500
21.25	32.476	500
23.75	32.476	500
26.25	32.476	500
28.75	32.476	500
31.25	32.476	500
33.75	32.476	500
36.25	32.476	100
38.75	32.476	100
41.25	32.476	100
43.75	32.476	100
46.25	32.476	100
48.75	32.476	100
0	34.641	100
2.5	34.641	100
5	34.641	100
7.5	34.641	100
10	34.641	100
12.5	34.641	100
15	34.641	100
17.5	34.641	500
20	34.641	500
22.5	34.641	500
25	34.641	500
27.5	34.641	500
30	34.641	500
32.5	34.641	500
35	34.641	100
37.5	34.641	100
40	34.641	100
42.5	34.641	100
45	34.641	100
47.5	34.641	100
1.25	36.8061	100
3.75	36.8061	100
6.25	36.8061	100
8.75	36.8061	100
11.25	36.8061	100
13.75	36.8061	100
16.25	36.8061	100
18.75	36.8061	500
21.25	36.8061	500
23.75	36.8061	500
26.25	36.8061	500
28.75	36.8061	500
31.25	36.8061	500
33.75	36.8061	500
36.25	36.8061	100
38.75	36.8061	100
41.25	36.8061	100
43.75	36.8061	100
46.25	36.8061	100
48.75	36.8061	100
0	38.9711	100
2.5	38.9711	100
5	38.9711	100
7.5	38.9711	100
10	38.9711	100
12.5	38.9711	100
15	38.9711	100
17.5	38.9711	500
20	38.9711	500
22.5	38.9711	500
25	38.9711	500
27.5	38.9711	500
30	38.9711	500
32.5	38.9711	500
35	38.9711	100
37.5	38.9711	100
40	38.9711	100
42.5	38.9711	100
45	38.9711	100
47.5	38.9711	100
1.25	41.1362	100
3.75	41.1362	100
6.25	41.1362	100
8.75	41.1362	100
11.25	41.1362	100
13.75	41.1362	100
16.25	41.1362	100
18.75	41.1362	500
21.25	41.1362	500
23.75	41.1362	500
26.25	41.1362	500
28.75	41.1362	500
31.25	41.1362	500
33.75	41.1362	500
36.25	41.1362	100
38.75	41.1362	100
41.25	41.1362	100
43.75	41.1362	100
46.25	41.1362	100
48.75	41.1362	100
 
